title,author,volume,page,grade
TALES FROM EARLY ENGLISH CHRONICLES,,IV, 135-189,GRADE VI
Ali Baba and the Forty Thieves,, V, 15,GRADE VI
The Story of Aladdin or the Wonderful Lamp,, V, 46,GRADE VI
Sindbad the Sailor,, V, 108,GRADE VI
GULLIVER'S TRAVELS,,V, 249-312,GRADE VI
A Midsummer-Night's Dream,E. Nesbit, V, 331,GRADE VI
The Tempest,E. Nesbit, V, 338,GRADE VI
As You Like It,E. Nesbit, V, 345,GRADE VI
The Merchant of Venice,E. Nesbit, V, 351,GRADE VI
Nelly's Hospital,Louisa M. Alcott, VI, 25,GRADE VI
The Flight of the Dolls,Lucretia P. Hale, VI, 94,GRADE VI
Solomon John Goes for Apples,Lucretia P. Hale, VI, 102,GRADE VI
Dill,Mary E. W. Freeman, VI, 128,GRADE VI
Uncle Jack's Story,Mrs. E. M. Field, VI, 241,GRADE VI
Bryda's Dreadful Scrape,Mrs. E. M. Field, VI, 259,GRADE VI
Embellishment,Jacob Abbott, VI, 278,GRADE VI
The Great Stone Face,Nathaniel Hawthorne, VI, 293,GRADE VI
At Home with the Beavers,Lillian M. Gask, VIII, 381,GRADE VI
Two Enemies of the Beavers,Lillian M. Gask, VIII, 398,GRADE VI
The Squirrel's Story,Lillian M. Gask, VIII, 406,GRADE VI
A Den in the Rocks,Lillian M. Gask, VIII, 418,GRADE VI
Ships of the Desert,Lillian M. Gask, VIII, 429,GRADE VI
A Christmas Adventure,J. E. Chamberlin, IX, 55,GRADE VI
The Travelling Doll,Evelyn Snead Barnett, IX, 137,GRADE VI
The Call of the Sea,Frederick Palmer, IX, 201,GRADE VI
On a Tight Rope,Albert W. Tolman, IX, 213,GRADE VI
Down the Incline,Charles Newton Hood, IX, 220,GRADE VI
The Barefoot Boy,John G. Whittier, X, 201,GRADE VI
Thanksgiving Day,Lydia Maria Child, X, 204,GRADE VI
The Romance of the Swan's Nest,E. B. Browning, X, 205,GRADE VI
The Voice of Spring,Mary Howitt, X, 209,GRADE VI
Green Things Growing,Dinah Maria Mulock, X, 210,GRADE VI
A Boy's Prayer,H. C. Beeching, X, 211,GRADE VI
Daffodils,William Wordsworth, X, 211,GRADE VI
Daffodil,Katherine T. Hinkson, X, 212,GRADE VI
July,Susan Hartley Swett, X, 213,GRADE VI
To the Fringed Gentian,William C. Bryant, X, 214,GRADE VI
Summer Days,Anonymous, X, 215,GRADE VI
"Woodman, Spare That Tree!",George Pope Morris, X, 216,GRADE VI
Daisy's Song,John Keats, X, 217,GRADE VI
The Frost,Hannah Flagg Gould, X, 218,GRADE VI
Almond Blossom,Edwin Arnold, X, 218,GRADE VI
A Song of Clover,Saxe Holm, X, 220,GRADE VI
A Storm in the Distance,Paul H. Hayne, X, 221,GRADE VI
Seven Times Four,Jean Ingelow, X, 222,GRADE VI
To a Skylark,Percy Bysshe Shelley, X, 223,GRADE VI
Swimming,Lord Byron, X, 228,GRADE VI
The Brook,Alfred Tennyson, X, 228,GRADE VI
The Bugle Song,Alfred Tennyson, X, 230,GRADE VI
The Brave Old Oak,H. F. Chorley, X, 231,GRADE VI
Daybreak,Henry W. Longfellow, X, 232,GRADE VI
The Meadows in Spring,Edward Fitzgerald, X, 238,GRADE VI
Hiawatha's Sailing,Henry W. Longfellow, X, 235,GRADE VI
Procession of the Flowers,Sydney Dobell, X, 239,GRADE VI
The Tiger,William Blake, X, 240,GRADE VI
A Sea Song,Allan Cunningham, X, 241,GRADE VI
Song,Robert Browning, X, 242,GRADE VI
"They come: the Merry Summer Months",William Motherwell, X, 242,GRADE VI
Little Dandelion,Helen B. Bostwick, X, 245,GRADE VI
The Day Is Gone,Henry W. Longfellow, X, 246,GRADE VI
Sailor's Song,Thomas L. Beddoes, X, 248,GRADE VI
The Chambered Nautilus,Oliver W. Holmes, X, 249,GRADE VI
"Home, Sweet Home",John Howard Payne, X, 250,GRADE VI
THE Story of BRUNHILDA AND SIEGFRIED,,II, 99-133 ,GRADE VII 
THE Story of LOHENGRIN,,II, 141-171 ,GRADE VII 
When Brer Wolf Have His Corn Shucking,Anonymous, II, 487 ,GRADE VII 
Brer Rabbit's Cool Air Swing,Anonymous, II, 490 ,GRADE VII 
The Trojan War,Thomas Bulfinch, III, 237 ,GRADE VII 
The Quarrel of the Chiefs,Alfred J. Church, III, 240 ,GRADE VII 
The fight Between Paris and Menelaus,Alfred J. Church, III, 251 ,GRADE VII 
The Duel Between Hector and Ajax,Alfred J. Church, III, 257 ,GRADE VII 
and ati and Death of Patroclus,Alfred J. Church, III, ,GRADE VII 
The Death of Hector,Alfred J. Church, III, 272 ,GRADE VII 
The Ransoming of Hector,Alfred J. Church, III, 283 ,GRADE VII 
The Wooden Horse,Grace Bigelow Patten, III, 295 ,GRADE VII 
The Lotus-Eaters,Sir George W. Cox, III, 301 ,GRADE VII 
Ulysses and the Cyclops,Sir George W. Cox, III, 305 ,GRADE VII 
Circé's Palace,Nathaniel Hawthorne, III, 315 ,GRADE VII 
Ulysses and the Sirens,Sir George W. Cox, III, 353 ,GRADE VII 
Nausicaa Rescues Ulysses,Alfred J. Church, III, 357 ,GRADE VII 
Ulysses and the Swineherd,Alfred J. Church, III, 368 ,GRADE VII 
The Return of Telemachus,Alfred J. Church, III, 373 ,GRADE VII 
Ulysses in His Home,Alfred J. Church, III, 377 ,GRADE VII 
The Trial of the Bow,Alfred J. Church, III, 384 ,GRADE VII 
The Vengeance of Ulysses,Alfred J. Church, III, 389 ,GRADE VII 
The Remnant of the Defeated Army Seeks a New Home, Thomas Bulfinch and Alfred J. Church, III, 397 ,GRADE VII 
The Adventures with the Harpies,H. L. Havell, III, 403 ,GRADE VII 
Pursued by the Cyclops,H. L. Havell, III, 406 ,GRADE VII 
Venus Sends Adneas to Queen Dido,Alfred J. Church, III, 412 ,GRADE VII 
Queen Dido Welcomes Aineas,Alfred J. Church, III, 418 ,GRADE VII 
The Love and Death of Queen Dido,Alfred J. Church, III, 425,GRADE VII 
The Race of the Four Galleys,H. L. Havell, III, 487 ,GRADE VII 
The Foot Race,H. L. Havell, III, 443 ,GRADE VII 
The Boxing Match,H. L. Havell, III, 445 ,GRADE VII 
The Contest of the Archers,H. L. Havell, III, 448 ,GRADE VII 
The Sibyl Speaks to Aineas,Alfred J. Church, III, 450 ,GRADE VII 
The Dwellings of the Dead,Alfred J. Church, III, 455 ,GRADE VII 
The Oracle Foretells the Coming of Avneas,H. L. Havell, III, 467,GRADE VII 
Aeneas and His Companions Eat Their Tables,H. L. Havell, III, 469 ,GRADE VII 
The Fight Between Atneas and Turnus,H. L. Havell, III, 473 ,GRADE VII 
The Death of Tornus,H. L. Havel, III, 480 ,GRADE VII 
The Story of Romulus and Numa,Alfred J. Church, III, 489 ,GRADE VII 
The Story of Alba,Alfred J. Church, III, 500 ,GRADE VII 
THE Story or King ARTHUR,,IV, 13-68 ,GRADE VII 
ROBINSON CRUSOE,,V,159-222,GRADE VII 
The Race for the Silver Skates,Mary Mapes Dodge, VI, 7 ,GRADE VII 
A Fox and a Raven,Rebecca H. Davis, VI, 46 ,GRADE VII 
The Private Theatricals,Mrs. A. D. T. Whitney, VI, 56 ,GRADE VII 
A Case of Coincidence,Rose Terry Cooke, VI, 83 ,GRADE VII 
Deacon Thomas Wale's Will,Mary E. W. Freeman, VI, 116 ,GRADE VII 
How Phidias Helped the Image-Maker,Beatrice Harraden, VII, 11 ,GRADE VII 
The Fight at the Pass of Thermopyle,Charlotte M. Yonge,VII,17 ,GRADE VII 
The Bravery of Regulus,Charlotte M. Yonge, VII, 27 ,GRADE VII 
The Rabbi Who Found the Diadem,Dr. A. S. Isaacs, VII, 34 ,GRADE VII 
How Livia Won the Brooch,Beatrice Harraden, VII, 35 ,GRADE VII 
Julius Cesar Crossing the Rubicon,Jacob Abbott, VII, 42 ,GRADE VII 
"Fearless Saint Genevieve, Patron Saint of Paris",Charlotte M. Yonge, VII, 60 ,GRADE VII 
The Boy Viking—Olaf II of Norway,E. S. Brooks, VII, 67 ,GRADE VII 
The Boy-Heroes of Crecy and Poiters,Treadwell Walden, VII, 87 ,GRADE VII 
The Noble Burghers of Calais,Charlotte M. Yonge, VII, 99 ,GRADE VII 
"The Story of Joan of Arc, the Maid Who Saved France", Anonymous, VII, 113 ,GRADE VII 
How Joan the Maid Took Largess from the English,Anonymous, VII, 130 ,GRADE VII 
Death of Joan the Maid,Anonymous, VII, 142 ,GRADE VII 
How Catherine Douglas Tried to Save King James of Scotland,Charlotte M. Yonge, VII, 149 ,GRADE VII 
The Brave Queen of Hungary,Charlotte M. Yonge, VII, 155 ,GRADE VII 
A Story of Christopher Columbus for Little Children,Elizabeth Harrison, VII, 166 ,GRADE VII 
A Sea-Fight in the Time of Queen Bess,Charles Kingsley, VII,179,GRADE VII 
A Brave Scottish Chief,Anonymous, VII, 205 ,GRADE VII 
The Adventure of Grizel Cochrane,Arthur Quiller-Couch, VII,244,GRADE VII 
The Sunken Treasure,Nathaniel Hawthorne, VII, 228 ,GRADE VII 
The Lost Exiles of Texas,Arthur Gilman, VII, 234 ,GRADE VII 
The Boy Conqueror Charles XII of Sweden,E. S. Brooks, VII,244,GRADE VII 
The True Story of a Kidnapped Boy as Told by Himself, Peter Williamson, VII, 265 ,GRADE VII 
The Prisoner Who Would Not Stay in Prison,Anonymous, VII, 278 ,GRADE VII 
A White Boy Among the Indians as Told by Himself,John Tanner, VII, 292 ,GRADE VII 
Evangeline of Acadia,Henry W. Longfellow, VII, 306 ,GRADE VII 
Jabez Rockwell's Powder-Horn,Ralph D. Paine, VII, 317 ,GRADE VII 
A Man Who Coveted Washington's Shoes,Frank R. Stockton, VII, 332 ,GRADE VII 
A Famous Fight Between an English and a French Frigate,Rev. W. H. Fitchett, VII, 344 ,GRADE VII 
The Trick of an Indian Spy,Arthur Quiller-Couch, VII, 348 ,GRADE VII 
The Men in the Auger Hole,Frank R. Stockton, VII, 356 ,GRADE VII 
The remarkable Voyage of the Bounty,Anonymous, VII, 366,GRADE VII 
The Two Boy Hostages of the Siege of Seringapatam, Anonymous, VII, 380 ,GRADE VII 
The Man Who Spoiled Napoleon's Destiny,Rev. W. H. Fitchett, VII, 385 ,GRADE VII 
A Fire-Fighter's Rescue from the Flames,Arthur Quiller- Couch, VII, 396 ,GRADE VII 
How Napoleon Rewarded His Men,Baron de Marbot, VII, 403,GRADE VII 
A Rescue from Shipwreck,Arthur Quiller-Couch, VII, 418 ,GRADE VII 
Rebecca the Drummer,Charles Barnard, VII, 426 ,GRADE VII 
The Messenger,M. E. M. Davis, VII, 434 ,GRADE VII 
Aer Davy and the Safety-Lamp,George C. Towle, VII, 9 ,GRADE VII 
Kit Carson's Duel,Emerson Hough, VII, 454 ,GRADE VII 
The Story of Grace Darling,Anonymous, VII, 468 ,GRADE VII 
The Struggles of Charles Goodyear,George C. Towle, VII, 475 ,GRADE VII 
Old Johnny Appleseed,Elizabeth Harrison, VII, 480 ,GRADE VII 
The Little Post-Boy,Bayard Taylor, VII, 485 ,GRADE VII 
How June Found Massa Linkum,Elizabeth S. Phelps, VII, 495 ,GRADE VII 
The Story of a Forest Fire,Raymond S. Spears, VII, 509 ,GRADE VII 
Powder-Post,C. A. Stephens, VIII, 267 ,GRADE VII 
The Taxes of Middlebrook,Ray Stannard Baker, IX, 30 ,GRADE VII 
The Cure of Fear,Norman Duncan, IX, 43 ,GRADE VII 
Big Timber Beacon,John L. Mathews, IX, 79 ,GRADE VII 
The Imp and the Drum,Josephine D. Bacon, IX, 99 ,GRADE VII 
Holding the Pipe,Albert W. Tolman, IX, 128 ,GRADE VII 
The Doll Doctor,E. V. Lucas, IX, 152 ,GRADE VII 
Jonnasen,Dallas Lore Sharp, IX, 179 ,GRADE VII 
In the Oven,Richard W. Child, IX, 186 ,GRADE VII 
Ye Mariners of England,Thomas Campbell, X, 251 ,GRADE VII 
Boyhood,Washington Allston, X, 252 ,GRADE VII 
Daisies,John Dryden, X, 253 ,GRADE VII 
March,Nora Hopper, X, 253 ,GRADE VII 
Succession of the Four Sweet Months,Robert Herrick, X, 254 ,GRADE VII 
March,William Wordsworth, X, 254 ,GRADE VII 
A Wayfaring Song,Henry Van Dyke, X, 255 ,GRADE VII 
"Hark, Hark! the Lark",William Shakespeare, X, 256 ,GRADE VII 
The Arrow and the Song,Henry W. Longfellow, X, 250 ,GRADE VII 
The Sea,Barry Cornwall, X, 257 ,GRADE VII 
Small Beginnings,Charles Mackay, X, 258 ,GRADE VII 
Voyagers,Emily Dickinson, X, 260 ,GRADE VII 
Opportunity,Edward Rowland Hill, X, 260 ,GRADE VII 
Labor Song,Denis MacCarthy, X, 261 ,GRADE VII 
The Village Blacksmith,Henry W. Longfellow, X, 262 ,GRADE VII 
Life,James Russell Lowell, X, 264 ,GRADE VII 
The Happiest Heart,John Vance Cheney, X, 264 ,GRADE VII 
The Noble Nature,Ben Jonson, X, 265 ,GRADE VII 
Insignificant Existence,Isaac Watts, X, 265 ,GRADE VII 
For A' That,Robert Burns, X, 266 ,GRADE VII 
Procrastination,Robert Southwell, X, 267 ,GRADE VII 
Cardinal Wolsey's Speech to Cromwell,William Shakespeare, X, 268,GRADE VII 
Wolsey's Fall,William Shakespeare, X, 269 ,GRADE VII 
Seven Ages of Man,William Shakespeare, X, 270 ,GRADE VII 
Jog On,William Shakespeare, X, 271 ,GRADE VII 
Polonius's Advice,William Shakespeare, X, 271 ,GRADE VII 
Reputation,William Shakespeare, X, 272 ,GRADE VII 
"Over Hill, Over Dale",William Shakespeare, X, 272 ,GRADE VII 
I Know a Bank,William Shakespeare, X, 273 ,GRADE VII 
Ingratitude,William Shakespeare, X, 273 ,GRADE VII 
Where the Bee Sucks,William Shakespeare, X, 274 ,GRADE VII 
Mercy,William Shakespeare, X, 274 ,GRADE VII 
Perfection,William Shakespeare, X, 275 ,GRADE VII 
The Pedler's Pack,William Shakespeare, X, 275 ,GRADE VII 
The Fairies' Lullaby,William Shakespeare, X, 276 ,GRADE VII 
Come Unto These Yellow Sands,William Shakespeare, X, 277 ,GRADE VII 
Opportunity,William Shakespeare, X, 278 ,GRADE VII 
Hotspur's Description of a Fop,William Shakespeare, X, 278 ,GRADE VII 
Buttercup,Jean Ingelow, X, 279 ,GRADE VII 
Knowledge,William Cowper, X, 280 ,GRADE VII 
To the Lord General Cromwell,John Milton, X, 280 ,GRADE VII 
The Rainbow,William Wordsworth, X, 281 ,GRADE VII 
On His Blindness,John Milton, X, 281 ,GRADE VII 
A Farewell,Charles Kingsley, X, 282 ,GRADE VII 
To Milton,William Wordsworth, X, 282 ,GRADE VII 
Perseverance,Edward Fitzgerald, X, 2838 ,GRADE VII 
Retribution,Henry W. Longfellow, X, 283 ,GRADE VII 
The Gettysburg Address,Abraham Lincoln, X, 284 ,GRADE VII 
America,S. F. Smith, X, 285 ,GRADE VII 
The Star-Spangled Banner,Francis Scott Key, X, 286 ,GRADE VII 
Dixie,Daniel D. Emmett, X, 288 ,GRADE VII 
Rule Britannia,James Thomson, X, 289 ,GRADE VII 
The Watch on the Rhine,Max Schneckenburger, X, 290 ,GRADE VII 
The Marseillaise Hymn,Rouget de Lisle, X, 292 ,GRADE VII 
Swedish National Air,, X, 293 ,GRADE VII 
National Hymn of Norway,, X, 298 ,GRADE VII 
Italian National Hymn,, X, 294 ,GRADE VII 
Danish National Hymn,, X, 295 ,GRADE VII 
Spanish National Hymn,, X, 296 ,GRADE VII 
Austrian National Song,, X, 297 ,GRADE VII 
The Hand of Lincolhn,Edmund C. Stedman, X, 298 ,GRADE VII 
Battle-Hymn of the Republic,Julia Ward Howe, X, 300 ,GRADE VII 
The Flag Goes By,Henry H. Bennett, X, 301 ,GRADE VII 
Fatherland,Sir Walter Scott, X, 302 ,GRADE VII 
Warren's odes to the American Soldiers,John Pierpont, X, 303,GRADE VII 
The Old Flag,H. C. Bunner, X, 304 ,GRADE VII 
Barbara Frietchie,John G. Whittier, X,305,GRADE VII 
Sheridan's Ride,Thomas B. Read, X,308,GRADE VII 
The Republic,Henry W. Longfellow, X, 310 ,GRADE VII 
The Landing of the Pilgrim Fathers in New England,Felicia D. Hemans, X, 311 ,GRADE VII 
The Eve of Waterloo,Lord Byron, X, 313 ,GRADE VII 
Concord Hymn,R. W. Emerson, X, 314 ,GRADE VII 
O Captain! My Captain!,Walt Whitman, X, 315 ,GRADE VII 
A Nation's Strength,R. W. Emerson, X, 316 ,GRADE VII 
The Burial of Sir John Moore,Charles Wolfe, X, 317 ,GRADE VII 
Cavalry Song,Edmund C. Stedman, X, 319 ,GRADE VII 
On the Life-Mask of Abraham Lincoln,R. W. Gilder, X, 320 ,GRADE VII 
The Charge of the Light Brigade,Alfred Tennyson, X, 321 ,GRADE VII 
Paul Revere's Ride,Henry W. Longfellow, X, 323 ,GRADE VII 
Naseby,Thomas B. MacCaulay, X, 327 ,GRADE VII 
How They Brought the Good News From Ghent to Aix,Robert Browning, X, 331 ,GRADE VII 
The Bowman's Song,Arthur Conan Doyle, X, 334 ,GRADE VII 
Old Ironsides,Oliver W. Holmes, X, 335 ,GRADE VII 
The Drum,Bret Harte, X, 336 ,GRADE VII 
Casabianca,Felicia D. Hemans, X, 338 ,GRADE VII 
Divine Ode,Joseph Addison, X, 339 ,GRADE VII 
The Character of a Happy Life,Sir Henry Wottom, X, 340 ,GRADE VII
Rip Van Winkle,Washington Irving, II, 364 ,GRADE VIII 
The Legend of Sleepy Hollow, Washington Irving, II, 386 ,GRADE VIII 
Kynon's Adventure at the Fountain,Lady Charlotte Guest, IV,79,GRADE VIII 
Owain's Adventure at the Fountain,Lady Charlotte Guest, IV, 85,GRADE VIII 
Gawain's Adventure in Search of Owain,Lady Charlotte Guest, IV, 95 ,GRADE VIII 
The Adventures of the Lion,Lady Charlotte Guest, IV, 99 ,GRADE VIII 
How Pwyll Outwitted Gawl,Lady Charlotte Guest, IV, 104 ,GRADE VIII 
Hee Manawyddan Caught a Thief,Lady Tharlotte Guest, IV,112,GRADE VIII 
The Story of Lludd and Llevelys,Lady Charlotte Guest, IV, 125 ,GRADE VIII 
The Old Woman and the Knight,F. J. H. Darton, IV, 201 ,GRADE VIII 
Death and the Three Revellers,F. J. H. Darton, IV, 207 ,GRADE VIII 
Patient Griselda,F. J. H. Darton, IV, 212 ,GRADE VIII 
TALES FROM FRENCH AND ITALIAN CHRONICLES,,V, 231-279 ,GRADE VIII 
THE SPANISH CHRONICLES OF THE CID,,IV, 289-321 ,GRADE VIII 
Don QUIXOTE DE LA MANCHA,MIGUEL DE CERVANTES,IV, 385-509 ,GRADE VIII 
PILGRIM'S PROGRESS,, V, 361-392 ,GRADE VIII 
Ivanhoe,Sir Edward Sullivan, V, 401 ,GRADE VIII 
Guy Mannering,Sir Edward Sullivan, V, 458 ,GRADE VIII 
THe STARTLING ADVENTURES OF BARON MUNCHAUSEN,,V, 505-513 ,GRADE VIII 
The Cratchits' Christmas Dinner,Charles Dickens, VI, 267 ,GRADE VIII 
Rab and His Friends,John Brown M.D., VIII, 465 ,GRADE VIII 
A Ride with a Mad Horse in a Freight Car,W. H. H. Murray, VIII, 484 ,GRADE VIII 
A-Hunting of the Deer,Charles D. Warner, VIII, 505 ,GRADE VIII 
Brother Rabbit's Cradle,Joel Chandler Harris, IX, 7 ,GRADE VIII 
Chased by the Trail,Jack London, IX, 66 ,GRADE VIII 
How Hilda Got a School,Lelia Munsell, IX, 90 ,GRADE VIII 
The Second String,James B. Connolly, IX, 116 ,GRADE VIII 
Gravity Gregg,Isaac Ogden Rankin, IX, 171 ,GRADE VIII 
On a Slide-Board,Robert Barnes, IX, 192 ,GRADE VIII 
The Cost of Loving,Frederick O. Bartlett, IX, 225 ,GRADE VIII 
Ladybird,Edith Barnard, IX, 241 ,GRADE VIII 
The Drasnoe Pipe-Line,Arthur Stanwood Pier, IX, 255 ,GRADE VIII 
Manuk Del Monte,Rowland Thomas, IX, 269 ,GRADE VIII 
The Man Without a Country,Edward Everett Hale, IX, 279 ,GRADE VIII 
The Foreman,Stewart E. White, IX, 315 ,GRADE VIII 
The Grey Collie,Georgia W. Pangborn, IX, 328 ,GRADE VIII 
The Fore-Room Rug,Kate Douglas Wiggin, IX, 340 ,GRADE VIII 
Cressy's New-Year's Rent,Albert Lee, IX, 359 ,GRADE VIII 
"The Rhodora, On Being Asked, ""Whence is the Flower""", Ralph W. Emerson, X, 341 ,GRADE VIII 
Laus Deo!,John G. Whittier, X, 342 ,GRADE VIII 
The Colored Band,Paul L. Dunbar, X, 345 ,GRADE VIII 
The Wind in a Frolic,William Howitt, X, 345 ,GRADE VIII 
Ivry,Thomas B. MacCaulay, X, 347 ,GRADE VIII 
The Heart of the Bruce,William E. Aytoun, X, 351 ,GRADE VIII 
Hervé Riel,Robert Browning, X, 360 ,GRADE VIII 
The Destruction of Sennacherib,Lord Byron, X, 366 ,GRADE VIII 
Incident of the French Camp,Robert Browning, X, 367 ,GRADE VIII 
Horatius at the Bridge,Thomas B. MacCaulay, X, 369 ,GRADE VIII 
After Blenheim,Robert Southey, X, 383 ,GRADE VIII 
Lady Clare,Alfred Tennyson, X, 385 ,GRADE VIII 
The Greenwood Shrift,Robert and Caroline Southey, X, 389 ,GRADE VIII 
The Arab to His Favorite Steed,Caroline E. Norton, X, 393 ,GRADE VIII 
The Old Oaken Bucket,Samuel Woodworth, X, 396 ,GRADE VIII 
Lochinvar,Sir Walter Scott, X, 397 ,GRADE VIII 
The Skeleton in Armor,Henry W. Longfellow, X, 399 ,GRADE VIII 
The Deserted Village,Oliver Goldsmith, X, 405 ,GRADE VIII 
The Wreck of the Hesperus,Henry W. Longfellow, X, 420 ,GRADE VIII 
The Rhime of the Ancient Mariner,Samuel T. Coleridge, X, 423,GRADE VIII 
The Bells,Edgar Allan Poe,X,447,GRADE VIII 